"","cont","cont.1","cont.2","cont.3","cont.4","cont.5","cont.6","disc","disc.1","disc.2","disc.3","disc.4","disc.5","disc.6","disc.7","disc.8","disc.9","disc.10","disc.11","disc.12"
"1",0.035714,0.056992,1,1,0.85714,0.33333,0,1,5,4,5,5,3,1,1,3,2,3,2,1
"2",0.78571,0.36218,0.33333,0.33333,0.053571,0,0,2,3,4,1,3,2,1,1,3,2,3,1,1
"3",0.14286,0.11615,0.33333,0.66667,0.53571,0,1,4,5,7,1,4,3,1,1,3,2,2,1,1
"4",0.67857,0.48542,0.33333,1,0.46429,0,1,1,3,3,1,4,3,3,2,3,3,3,1,1
"5",0.35714,0.29319,0.66667,1,0.60714,0.33333,1,1,4,1,1,3,3,1,4,3,3,3,1,1
"6",0.57143,0.56028,0.33333,1,0.28571,0,1,4,3,7,5,3,3,1,4,3,3,2,2,1
"7",0.35714,0.16332,0.66667,1,0.60714,0,0,4,3,3,3,5,3,1,2,3,2,3,1,1
"8",0.57143,0.42581,0.33333,0.33333,0.28571,0,0,2,3,2,1,3,3,1,3,3,1,4,2,1
"9",0.14286,0.17761,0.33333,1,0.75,0,0,4,3,4,4,4,1,1,1,3,2,2,1,1
"10",0.46429,0.31642,1,0.33333,0.16071,0.33333,0,2,5,1,1,1,4,1,3,3,2,4,1,1
"11",0.14286,0.065033,0.66667,0,0.10714,0,0,2,3,1,1,2,2,1,3,3,1,3,1,1
"12",0.78571,0.25732,0.66667,1,0.089286,0,0,1,3,10,1,2,2,1,2,3,1,3,1,1
"13",0.14286,0.082392,0,0,0.053571,0,0,2,3,4,1,3,2,1,3,3,2,3,2,1
"14",0.35714,0.058906,1,1,0.73214,0.33333,0,1,5,1,1,5,3,1,3,3,2,2,1,1
"15",0.19643,0.071925,0.33333,1,0.16071,0,0,1,3,1,1,3,2,1,3,3,1,3,1,1
"16",0.35714,0.064203,1,0.33333,0.23214,0,0,1,3,4,2,3,2,1,3,3,2,2,1,1
"17",0.35714,0.13709,1,1,0.60714,0.33333,0,4,5,4,5,5,3,1,2,3,2,3,1,1
"18",0.46429,0.49754,0.33333,0.66667,0.10714,0.66667,0,1,1,10,5,2,3,1,3,1,2,3,1,1
"19",0.35714,0.78518,1,0.33333,0.44643,0,0,2,3,2,1,5,2,1,4,3,3,4,2,1
"20",0.35714,0.20129,0.66667,0.33333,0.21429,0,1,4,3,4,3,5,3,1,3,3,2,3,2,1
"21",0.089286,0.11858,1,1,0.51786,0.66667,0,4,5,1,1,3,3,1,3,3,2,3,2,1
"22",0.035714,0.15132,0.33333,0.66667,0.44643,0,1,1,3,4,3,3,3,1,1,3,1,3,1,1
"23",0.10714,0.12541,0,0.66667,0.51786,0.33333,1,1,5,1,1,2,3,1,1,3,1,2,1,2
"24",0.14286,0.097517,0.66667,1,0.44643,0,0,2,5,2,2,2,3,1,2,3,2,3,1,1
"25",0.10714,0.11443,0.33333,0,0.125,0.33333,0,4,5,3,5,3,4,1,3,3,2,3,1,2
"26",0.035714,0.070075,0,0.33333,0.30357,0,0,1,3,3,1,3,3,1,1,1,2,2,2,1
"27",0.035714,0.009573,1,1,0.35714,0,0,4,1,4,1,5,4,1,3,3,2,2,1,1
"28",0.14286,0.0084881,0.66667,0.66667,0.41071,0.33333,0,3,2,4,4,3,2,1,1,3,1,3,1,1
"29",0.053571,0.13651,0.66667,0.33333,0.26786,0,0,2,3,4,1,3,3,3,1,3,2,3,1,1
"30",1,0.41866,0.66667,1,0.78571,0.33333,0,1,4,10,1,5,3,1,4,3,2,3,2,1
"31",0.25,0.10447,0.66667,0.66667,0.30357,0,0,2,3,10,4,2,4,1,1,1,2,3,2,1
"32",0.35714,0.23894,0.33333,0.33333,0.14286,0,0,1,3,3,1,3,3,1,3,2,2,3,1,1
"33",0.25,0.35676,0.33333,0.33333,0.19643,0.33333,0,2,3,1,2,3,3,1,3,3,2,3,2,1
"34",0.14286,0.063054,1,1,0.67857,0,0,4,5,10,5,5,3,1,4,3,1,2,1,1
"35",0.14286,0.076457,1,0,0.25,0,0,3,3,3,1,2,2,1,2,1,2,4,2,1
"36",0.73214,0.28528,1,0.33333,0.10714,0.33333,0,2,5,4,1,2,3,1,2,3,2,2,1,1
